,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Max_relu_20,0.8169928011677934,0.8283912453902889,0.5963037223417333,0.6193737029363262,0.7298106868469576,0.6351335779041181,0.634049026494433,0.5074951751690228,0.49544217117393974,0.6708058579200726
Max_relu_21,0.6606916909956976,0.6260680815918869,0.5942753995082974,0.6048134143737036,0.7249336086355256,0.6132659611247695,0.6203959186624866,0.5138087507682851,0.4807334357713583,0.617708752460667
Max_relu_22,0.6538092770436386,0.7904553818377381,0.5745219537492318,0.6034589231246215,0.6294184926244623,0.609668934388445,0.6208539500618933,0.37121866164720346,0.362945036877689,0.6059644367016064
Max_relu_23,0.7156712123540258,0.8153474300860479,0.4957373271358328,0.5315419362334102,0.5393238437307929,0.5552587008297479,0.5298711691191534,0.28835240473263674,0.31296319913952053,0.5609126864648915
Max_relu_24,0.4817739781807008,0.5674781153964352,0.5661751920712969,0.5856443583043429,0.7413441610325753,0.647068446527351,0.6530203636463806,0.45091528119237856,0.43605659956976034,0.5848305969411978
Max_relu_25,0.30312458512599877,0.521316172403196,0.3783117125076829,0.38007981692964454,0.5113403042409342,0.38468345113706204,0.3736809167428496,0.2599273740012293,0.2620387138905962,0.38942361765183064
Max_relu_26,0.7651190765212047,0.8167680278119238,0.758423651659496,0.7579884000917901,0.8028731868469577,0.7550172287953288,0.7630988406425877,0.6715228027043638,0.6539211432083589,0.7602178519603278
Max_relu_27,0.944445893515673,0.9136005224339274,0.8559094460663799,0.8577861792237143,0.8776331015673018,0.8670864704978488,0.8617580861477966,0.7524876075599263,0.7369166564228642,0.8654326710012981
Max_relu_28,0.582954229409957,0.7353651352181929,0.6794868431161647,0.7012650339104215,0.8013176744007376,0.7545170136754764,0.7527794276899451,0.5552694068838353,0.5330699677320221,0.693161622016771
Max_relu_29,0.9469807544560541,0.9620235210510142,0.8132403849108789,0.8228303464990472,0.7663817109711124,0.8237104870928088,0.8134632273314981,0.5904870467117393,0.6162350184388445,0.819065316297594
Max_relu_30,0.5850156576521204,0.7120269053472649,0.6686280500921942,0.6830255238262535,0.7788423017824216,0.7200940073755377,0.722954063001968,0.5136706745543946,0.5075635909649662,0.6719387443690832
Max_relu_31,0.6322496581130916,0.7314547979409958,0.733188971266134,0.7318371070014923,0.8143437269514443,0.7187395551628765,0.7379194320629296,0.5820924784880148,0.5829434157959434,0.7098523083941082
Max_relu_32,0.4632745812845729,0.589566606484327,0.6182494814074985,0.6115032433522147,0.7437974108789183,0.6230096074062692,0.6253938828143427,0.44826382913337437,0.4463445682237247,0.5897317311782151
Max_relu_33,0.6936967808850646,0.4531217924093423,0.6780030769821758,0.6875965074574486,0.7723717616779349,0.705512626767056,0.7052131916073129,0.6289790719114936,0.6067198832206515,0.6635540570086969
Max_relu_34,0.8673550322679779,0.9483557967117394,0.8372841157037492,0.8504618473851553,0.8462640288875232,0.8273817916410571,0.82659905757017,0.7299625691456668,0.7057770359557468,0.8403574407023097
Max_relu_35,0.7181219883220651,0.8380730062999384,0.8099409688076213,0.8120067970881999,0.8640693300553165,0.8426937576828519,0.8315002780460679,0.7146494545175168,0.6934928011677934,0.8021418469048208
Max_relu_36,0.8547250960356484,0.9390348110018439,0.9215987400122926,0.9263520926581851,0.9228738859864782,0.9315631223110018,0.9327713187303194,0.8666630454824831,0.8225711278426553,0.9088288942902345
Max_relu_37,0.8199801129379226,0.9428497771972957,0.8309591694837124,0.8517753284464203,0.7952181929932391,0.859029590503995,0.8540431470682925,0.6992058159188691,0.6820479717271051,0.8301887345606057
Max_relu_38,0.8042410302704364,0.897191368315919,0.8935701905347266,0.886390890942689,0.9226536147818072,0.9002777082052857,0.8979949736501853,0.7832961432083589,0.777995651505839,0.8724952279201301
Max_relu_39,0.8715548517209588,0.9546964005838967,0.9100761332206515,0.9146679831795739,0.9339809657344806,0.925539036570375,0.9203840306866446,0.8567214658881377,0.8491669791026429,0.9103351854311958
Max_relu_40,0.9464434311616472,0.9601476644130299,0.9211258028580209,0.9244431768726409,0.9258479563614014,0.9318448409649662,0.9316028322822676,0.8398483174554394,0.8208027043638599,0.9213272118612055
Max_relu_41,0.9722420482483096,0.9929565496312233,0.9467087738168408,0.9482783066458838,0.9341820221266135,0.9515394168715426,0.9494200501343745,0.8397546097111247,0.8506649047326367,0.9424598416622151
Max_relu_42,0.9174288299016595,0.9617582283343576,0.8808175437922557,0.8912903867734477,0.8789819837123539,0.9022488398893669,0.902090596533635,0.7921583282114321,0.7896360940381069,0.890532093657852
Max_relu_43,0.8869641710202827,0.9509891172403198,0.901707536877689,0.900938755853799,0.9212605523970497,0.9060761754763368,0.9014322987953631,0.8655607406269207,0.8552287569145666,0.9037583369520227
Max_relu_44,0.9923043561770128,0.997670044560541,0.9794351951444378,0.9795585709428793,0.9782849838660111,0.9847988898279041,0.9840826933108829,0.9516931315304241,0.9449552934849416,0.9805116337908467
Max_relu_45,0.9817314036570375,0.991313057006761,0.9543749154886294,0.9601537043358567,0.9524192724339274,0.9612642977873387,0.965310778890536,0.912490880454825,0.8960808927473879,0.9587654316270211
Max_relu_46,0.9126617816533498,0.9538186193915181,0.8696337968653964,0.8646526370529625,0.8753601452059006,0.8879544714197911,0.8903458488496814,0.7602756530424093,0.7405704363859865,0.8754313441832398
Max_relu_47,0.9617361401352181,0.9769873578672402,0.8946580170559311,0.8949339152577445,0.8763498386601105,0.9140524623540258,0.9132050232508492,0.8064649354640443,0.781809741856177,0.9031416762654177
Max_relu_48,0.8141576828518746,0.9092669944683466,0.7658895820528581,0.7626303547621653,0.7634922364781808,0.786703614781807,0.7818380437608357,0.614106860786724,0.6007822602950216,0.7738470034403127
Max_relu_49,0.5135679778733866,0.6698764904732637,0.6110328480331899,0.5948571791430877,0.6638096304548249,0.6225081937615242,0.6060524646244485,0.4895271819299324,0.4866484864781807,0.5960931693170658
Max_relu_50,0.26921794330055315,0.5586110248924401,0.348305946527351,0.34607907443929353,0.28614825599262445,0.35436967578365086,0.35463123171825583,0.15641732483097726,0.16606076367547634,0.33452784558407594
Min_out,0.12516978334357715,0.39399365012292564,0.4078174823294407,0.4131319453027932,0.31538934004302394,0.44728010909649657,0.42119631257542967,0.24196281499692687,0.24071431315304243,0.34447144756154624
Min_relu_0,0.0028359903196066368,0.0,0.05668906346035649,0.021670689272486637,0.2434924861708666,0.005374731100184386,0.016762041632879334,0.1254796327596804,0.13964990012292564,0.06060484059323545
